web-scraper-order,web-scraper-start-url,name,school,image-src,link,link-href
"1668780728-7692","https://www.edx.org/search?tab=course&subject=Social+Sciences","Leaders of Learning","HarvardX","https://prod-discovery.edx-cdn.org/media/course/image/9174e129-e6f3-4bc8-8a12-ea286d670e71-23e286087155.jpg","Leaders of Learning…Schools and Partners: HarvardX…Course","https://www.edx.org/course/leaders-of-learning?index=product_value_experiment_a&queryID=632ba53bab5b53550cc44c3126ffdb2d&position=1"
"1668780728-7693","https://www.edx.org/search?tab=course&subject=Social+Sciences","The Science of Happiness","BerkeleyX","https://prod-discovery.edx-cdn.org/media/course/image/73484215-4007-48cd-ba90-c945cde6030d-0277a3389713.jpg","The Science of Happiness…Schools and Partners: BerkeleyX…Course","https://www.edx.org/course/the-science-of-happiness-3?index=product_value_experiment_a&queryID=632ba53bab5b53550cc44c3126ffdb2d&position=2"
"1668780728-7694","https://www.edx.org/search?tab=course&subject=Social+Sciences","Managing Happiness","HarvardX","https://prod-discovery.edx-cdn.org/media/course/image/56feae4a-7386-4499-8f1d-cf4b17c6cc87-ef014434d4ee.jpeg","Managing Happiness…Schools and Partners: HarvardX…Course","https://www.edx.org/course/managing-happiness?index=product_value_experiment_a&queryID=632ba53bab5b53550cc44c3126ffdb2d&position=3"
"1668780728-7695","https://www.edx.org/search?tab=course&subject=Social+Sciences","Leadership: Creating
Public Value","HarvardX","https://prod-discovery.edx-cdn.org/media/course/image/0ecf7948-eba0-4787-a544-3d0e2197a151-563518624bc8.jpeg","Leadership: Creating
Public Value…Schools and Partners: HarvardX…Course","https://www.edx.org/course/creating-public-value?index=product_value_experiment_a&queryID=632ba53bab5b53550cc44c3126ffdb2d&position=4"
"1668780728-7696","https://www.edx.org/search?tab=course&subject=Social+Sciences","Religion, Conflict and
Peace","HarvardX","https://prod-discovery.edx-cdn.org/media/course/image/47faf271-5dce-455e-8308-9bb903f1d697-2b3c718adf92.jpg","Religion, Conflict and
Peace…Schools and Partners: HarvardX…Course","https://www.edx.org/course/religion-conflict-and-peace?index=product_value_experiment_a&queryID=632ba53bab5b53550cc44c3126ffdb2d&position=5"
"1668780728-7697","https://www.edx.org/search?tab=course&subject=Social+Sciences","Introduction to Social
Psychology","UQx","https://prod-discovery.edx-cdn.org/media/course/image/0d0fdc23-4539-4b66-a4c7-0923281aad04-02b2db4dafd5.jpg","Introduction to Social
Psychology…Schools and Partners: UQx…Course","https://www.edx.org/course/introduction-to-social-psychology?index=product_value_experiment_a&queryID=632ba53bab5b53550cc44c3126ffdb2d&position=6"
"1668780728-7698","https://www.edx.org/search?tab=course&subject=Social+Sciences","PredictionX: Omens,
Oracles & Prophecies","HarvardX","/static/default-card-header-dark-dcbaadee952586d8df3e9d58dd4e48a7.png","PredictionX: Omens,
Oracles & Prophecies…Schools and Partners: HarvardX…Course","https://www.edx.org/course/omens-oracles-prophecies?index=product_value_experiment_a&queryID=632ba53bab5b53550cc44c3126ffdb2d&position=7"
"1668780728-7699","https://www.edx.org/search?tab=course&subject=Social+Sciences","u-lab: Leading From the
Emerging Future","MITx","/static/default-card-header-dark-dcbaadee952586d8df3e9d58dd4e48a7.png","u-lab: Leading From the
Emerging Future…Schools and Partners: MITx…Course","https://www.edx.org/course/ulab-leading-from-the-emerging-future?index=product_value_experiment_a&queryID=632ba53bab5b53550cc44c3126ffdb2d&position=8"
"1668780728-7700","https://www.edx.org/search?tab=course&subject=Social+Sciences","Introduction to Clinical
Psychology","UQx","/static/default-card-header-dark-dcbaadee952586d8df3e9d58dd4e48a7.png","Introduction to Clinical
Psychology…Schools and Partners: UQx…Course","https://www.edx.org/course/introduction-to-clinical-psychology?index=product_value_experiment_a&queryID=632ba53bab5b53550cc44c3126ffdb2d&position=9"
"1668780728-7701","https://www.edx.org/search?tab=course&subject=Social+Sciences","Child Protection:
Children's Rights in Theory and Practice","HarvardX","/static/default-card-header-dark-dcbaadee952586d8df3e9d58dd4e48a7.png","Child Protection:
Children's Rights in Theory and Practice…Schools and Partners: HarvardX…Course","https://www.edx.org/course/child-protection-childrens-rights-in-theory-and-pr?index=product_value_experiment_a&queryID=632ba53bab5b53550cc44c3126ffdb2d&position=10"
"1668780728-7702","https://www.edx.org/search?tab=course&subject=Social+Sciences","From Poverty to
Prosperity: Understanding Economi…","OxfordX","/static/default-card-header-dark-dcbaadee952586d8df3e9d58dd4e48a7.png","From Poverty to
Prosperity: Understanding Economi……Schools and Partners: OxfordX…Course","https://www.edx.org/course/from-poverty-to-prosperity-understanding-economic?index=product_value_experiment_a&queryID=632ba53bab5b53550cc44c3126ffdb2d&position=11"
"1668780728-7703","https://www.edx.org/search?tab=course&subject=Social+Sciences","The Foundations of
Happiness at Work","BerkeleyX","/static/default-card-header-dark-dcbaadee952586d8df3e9d58dd4e48a7.png","The Foundations of
Happiness at Work…Schools and Partners: BerkeleyX…Course","https://www.edx.org/course/the-foundations-of-happiness-at-work?index=product_value_experiment_a&queryID=632ba53bab5b53550cc44c3126ffdb2d&position=12"
"1668780728-7704","https://www.edx.org/search?tab=course&subject=Social+Sciences","Operations Management","IIMBx","/static/default-card-header-dark-dcbaadee952586d8df3e9d58dd4e48a7.png","Operations Management…Schools and Partners: IIMBx…Course","https://www.edx.org/course/operations-management?index=product_value_experiment_a&queryID=632ba53bab5b53550cc44c3126ffdb2d&position=13"
"1668780728-7705","https://www.edx.org/search?tab=course&subject=Social+Sciences","Coaching Skills for
Learner-Centred Conversations","ImperialX","/static/default-card-header-dark-dcbaadee952586d8df3e9d58dd4e48a7.png","Coaching Skills for
Learner-Centred Conversations…Schools and Partners: ImperialX…Course","https://www.edx.org/course/coaching-skills-for-educators?index=product_value_experiment_a&queryID=632ba53bab5b53550cc44c3126ffdb2d&position=14"
"1668780728-7706","https://www.edx.org/search?tab=course&subject=Social+Sciences","Fundamentals of
Psychology","DoaneX","/static/default-card-header-dark-dcbaadee952586d8df3e9d58dd4e48a7.png","Fundamentals of
Psychology…Schools and Partners: DoaneX…Course","https://www.edx.org/course/fundamentals-of-psychology?index=product_value_experiment_a&queryID=632ba53bab5b53550cc44c3126ffdb2d&position=15"
"1668780728-7707","https://www.edx.org/search?tab=course&subject=Social+Sciences","Improving Global Health:
Focusing on Quality and Safety","HarvardX","/static/default-card-header-dark-dcbaadee952586d8df3e9d58dd4e48a7.png","Improving Global Health:
Focusing on Quality and Safety…Schools and Partners: HarvardX…Course","https://www.edx.org/course/improving-global-health-focusing-on-quality-and-sa?index=product_value_experiment_a&queryID=632ba53bab5b53550cc44c3126ffdb2d&position=16"
"1668780728-7708","https://www.edx.org/search?tab=course&subject=Social+Sciences","AP® Psychology - Course
1: What is Psychology?","UBCx","/static/default-card-header-dark-dcbaadee952586d8df3e9d58dd4e48a7.png","AP® Psychology - Course
1: What is Psychology?…Schools and Partners: UBCx…Course","https://www.edx.org/course/ap-psychology-course-1-what-is-psychology?index=product_value_experiment_a&queryID=632ba53bab5b53550cc44c3126ffdb2d&position=17"
"1668780728-7709","https://www.edx.org/search?tab=course&subject=Social+Sciences","Empathy and Emotional
Intelligence at Work","BerkeleyX","/static/default-card-header-dark-dcbaadee952586d8df3e9d58dd4e48a7.png","Empathy and Emotional
Intelligence at Work…Schools and Partners: BerkeleyX…Course","https://www.edx.org/course/empathy-and-emotional-intelligence-at-work?index=product_value_experiment_a&queryID=632ba53bab5b53550cc44c3126ffdb2d&position=18"
"1668780728-7710","https://www.edx.org/search?tab=course&subject=Social+Sciences","Becoming an Effective
Leader","UQx","/static/default-card-header-dark-dcbaadee952586d8df3e9d58dd4e48a7.png","Becoming an Effective
Leader…Schools and Partners: UQx…Course","https://www.edx.org/course/becoming-an-effective-leader?index=product_value_experiment_a&queryID=632ba53bab5b53550cc44c3126ffdb2d&position=19"
"1668780728-7711","https://www.edx.org/search?tab=course&subject=Social+Sciences","U.S. Public Policy: Social,
Economic, and Foreign Policies","HarvardX","/static/default-card-header-dark-dcbaadee952586d8df3e9d58dd4e48a7.png","U.S. Public Policy: Social,
Economic, and Foreign Policies…Schools and Partners: HarvardX…Course","https://www.edx.org/course/us-public-policy-social-economic-and-foreign-polic?index=product_value_experiment_a&queryID=632ba53bab5b53550cc44c3126ffdb2d&position=20"
"1668780728-7712","https://www.edx.org/search?tab=course&subject=Social+Sciences","Inteligencia emocional
para el liderazgo efectivo y colaboración","AnahuacX","/static/default-card-header-dark-dcbaadee952586d8df3e9d58dd4e48a7.png","Inteligencia emocional
para el liderazgo efectivo y colaboración…Schools and Partners: AnahuacX…Course","https://www.edx.org/course/inteligencia-emocional-para-el-liderazgo-efectiv-2?index=product_value_experiment_a&queryID=632ba53bab5b53550cc44c3126ffdb2d&position=21"
"1668780728-7713","https://www.edx.org/search?tab=course&subject=Social+Sciences","Behavioural Economics in
Action","University_of_TorontoX","/static/default-card-header-dark-dcbaadee952586d8df3e9d58dd4e48a7.png","Behavioural Economics in
Action…Schools and Partners: University_of_TorontoX…Course","https://www.edx.org/course/behavioural-economics-in-action?index=product_value_experiment_a&queryID=632ba53bab5b53550cc44c3126ffdb2d&position=22"
"1668780728-7714","https://www.edx.org/search?tab=course&subject=Social+Sciences","CitiesX: The Past, Present
and Future of Urban Life","HarvardX","/static/default-card-header-dark-dcbaadee952586d8df3e9d58dd4e48a7.png","CitiesX: The Past, Present
and Future of Urban Life…Schools and Partners: HarvardX…Course","https://www.edx.org/course/citiesx-the-past-present-and-future-of-urban-life?index=product_value_experiment_a&queryID=632ba53bab5b53550cc44c3126ffdb2d&position=23"
"1668780728-7715","https://www.edx.org/search?tab=course&subject=Social+Sciences","American Government:
Constitutional Foundations","HarvardX","/static/default-card-header-dark-dcbaadee952586d8df3e9d58dd4e48a7.png","American Government:
Constitutional Foundations…Schools and Partners: HarvardX…Course","https://www.edx.org/course/american-government-constitutional-foundations?index=product_value_experiment_a&queryID=632ba53bab5b53550cc44c3126ffdb2d&position=24"
"1668780728-7716","https://www.edx.org/search?tab=course&subject=Social+Sciences","Quantitative and
Qualitative Research for Beginners","NUS","https://prod-discovery.edx-cdn.org/media/course/image/bc4eb72c-b324-409c-b1e7-1bac92eec1ba-03e1461b95a1.png","Quantitative and
Qualitative Research for Beginners…Schools and Partners: NUS…Course","https://www.edx.org/course/quantitative-and-qualitative-research-for-beginners?index=product_value_experiment_a&queryID=48eb9ae753b2131ccaab47a5ae2a3627&position=1"
"1668780728-7717","https://www.edx.org/search?tab=course&subject=Social+Sciences","Women Making History:
Ten Objects, Many Stories","HarvardX","https://prod-discovery.edx-cdn.org/media/course/image/fe3bf07f-bc54-49db-b8ff-28eb54692ac6-62ef926a0655.jpg","Women Making History:
Ten Objects, Many Stories…Schools and Partners: HarvardX…Course","https://www.edx.org/course/women-making-history-ten-objects-many-stories?index=product_value_experiment_a&queryID=48eb9ae753b2131ccaab47a5ae2a3627&position=2"
"1668780728-7718","https://www.edx.org/search?tab=course&subject=Social+Sciences","Strengthening
Community Health Worker Programs","HarvardX","https://prod-discovery.edx-cdn.org/media/course/image/bfd20bb1-5a8a-4545-a6e3-1a32dc02f588-6a56277fbeba.jpg","Strengthening
Community Health Worker Programs…Schools and Partners: HarvardX…Course","https://www.edx.org/course/strengthening-community-health-worker-programs?index=product_value_experiment_a&queryID=48eb9ae753b2131ccaab47a5ae2a3627&position=3"
"1668780728-7719","https://www.edx.org/search?tab=course&subject=Social+Sciences","We the People: Civic
Engagement in a Constitutional Democra…","HarvardX","https://prod-discovery.edx-cdn.org/media/course/image/0d09a15e-1ab8-4f5f-8a31-ab7d95eac82c-7dc7a5be7679.jpeg","We the People: Civic
Engagement in a Constitutional Democra……Schools and Partners: HarvardX…Course","https://www.edx.org/course/civic-engagement-in-us-democracy?index=product_value_experiment_a&queryID=48eb9ae753b2131ccaab47a5ae2a3627&position=4"
"1668780728-7720","https://www.edx.org/search?tab=course&subject=Social+Sciences","Introducción a la
Regulación Emocional basada en Mindfulness","UAMx","https://prod-discovery.edx-cdn.org/media/course/image/00974327-a514-4c69-abaf-581e9c892945-8ad13bc6b94e.jpg","Introducción a la
Regulación Emocional basada en Mindfulness…Schools and Partners: UAMx…Course","https://www.edx.org/course/introduccion-a-la-regulacion-emocional-basada-en-m?index=product_value_experiment_a&queryID=48eb9ae753b2131ccaab47a5ae2a3627&position=5"
"1668780728-7721","https://www.edx.org/search?tab=course&subject=Social+Sciences","U.S. Political Institutions:
Congress, Presidency, Courts, and Bureaucracy","HarvardX","https://prod-discovery.edx-cdn.org/media/course/image/311ada4e-ba47-4c56-a55b-1538854835ac-4bbeb8c1b95e.png","U.S. Political Institutions:
Congress, Presidency, Courts, and Bureaucracy…Schools and Partners: HarvardX…Course","https://www.edx.org/course/us-political-institutions-congress-presidency-cour?index=product_value_experiment_a&queryID=48eb9ae753b2131ccaab47a5ae2a3627&position=6"
"1668780728-7722","https://www.edx.org/search?tab=course&subject=Social+Sciences","UX Research","HECMontrealX","/static/default-card-header-dark-dcbaadee952586d8df3e9d58dd4e48a7.png","UX Research…Schools and Partners: HECMontrealX…Course","https://www.edx.org/course/ux-research?index=product_value_experiment_a&queryID=48eb9ae753b2131ccaab47a5ae2a3627&position=7"
"1668780728-7723","https://www.edx.org/search?tab=course&subject=Social+Sciences","Product Design: The Delft
Design Approach","DelftX","/static/default-card-header-dark-dcbaadee952586d8df3e9d58dd4e48a7.png","Product Design: The Delft
Design Approach…Schools and Partners: DelftX…Course","https://www.edx.org/course/product-design-the-delft-design-approach?index=product_value_experiment_a&queryID=48eb9ae753b2131ccaab47a5ae2a3627&position=8"
"1668780728-7724","https://www.edx.org/search?tab=course&subject=Social+Sciences","World Music: Global
Rhythms","MITx","/static/default-card-header-dark-dcbaadee952586d8df3e9d58dd4e48a7.png","World Music: Global
Rhythms…Schools and Partners: MITx…Course","https://www.edx.org/course/world-music-global-rhythms?index=product_value_experiment_a&queryID=48eb9ae753b2131ccaab47a5ae2a3627&position=9"
"1668780728-7725","https://www.edx.org/search?tab=course&subject=Social+Sciences","The Best Start in Life:
Early Childhood Development for Sustai…","SDGAcademyX","/static/default-card-header-dark-dcbaadee952586d8df3e9d58dd4e48a7.png","The Best Start in Life:
Early Childhood Development for Sustai……Schools and Partners: SDGAcademyX…Course","https://www.edx.org/course/the-best-start-in-life-early-childhood-development?index=product_value_experiment_a&queryID=48eb9ae753b2131ccaab47a5ae2a3627&position=10"
"1668780728-7726","https://www.edx.org/search?tab=course&subject=Social+Sciences","Circular Fashion: Design,
Science and Value in a Sustainable Clothing Ind…","WageningenX","/static/default-card-header-dark-dcbaadee952586d8df3e9d58dd4e48a7.png","Circular Fashion: Design,
Science and Value in a Sustainable Clothing Ind……Schools and Partners: WageningenX…Course","https://www.edx.org/course/circular-fashion-in-a-sustainable-clothingindustry?index=product_value_experiment_a&queryID=48eb9ae753b2131ccaab47a5ae2a3627&position=11"
"1668780728-7727","https://www.edx.org/search?tab=course&subject=Social+Sciences","Mindfulness and
Resilience to Stress at Work","BerkeleyX","/static/default-card-header-dark-dcbaadee952586d8df3e9d58dd4e48a7.png","Mindfulness and
Resilience to Stress at Work…Schools and Partners: BerkeleyX…Course","https://www.edx.org/course/mindfulness-and-resilience-to-stress-at-work?index=product_value_experiment_a&queryID=48eb9ae753b2131ccaab47a5ae2a3627&position=12"
"1668780728-7728","https://www.edx.org/search?tab=course&subject=Social+Sciences","Introduction to
Developmental Psychology","UQx","/static/default-card-header-dark-dcbaadee952586d8df3e9d58dd4e48a7.png","Introduction to
Developmental Psychology…Schools and Partners: UQx…Course","https://www.edx.org/course/introduction-to-developmental-psychology?index=product_value_experiment_a&queryID=48eb9ae753b2131ccaab47a5ae2a3627&position=13"
"1668780728-7729","https://www.edx.org/search?tab=course&subject=Social+Sciences","The Science of Everyday
Thinking","UQx","/static/default-card-header-dark-dcbaadee952586d8df3e9d58dd4e48a7.png","The Science of Everyday
Thinking…Schools and Partners: UQx…Course","https://www.edx.org/course/the-science-of-everyday-thinking?index=product_value_experiment_a&queryID=48eb9ae753b2131ccaab47a5ae2a3627&position=14"
"1668780728-7730","https://www.edx.org/search?tab=course&subject=Social+Sciences","Introducción a la
inteligencia emocional","AnahuacX","/static/default-card-header-dark-dcbaadee952586d8df3e9d58dd4e48a7.png","Introducción a la
inteligencia emocional…Schools and Partners: AnahuacX…Course","https://www.edx.org/course/introduccion-a-la-inteligencia-emocional-2?index=product_value_experiment_a&queryID=48eb9ae753b2131ccaab47a5ae2a3627&position=15"
"1668780728-7731","https://www.edx.org/search?tab=course&subject=Social+Sciences","Brand Management","IIMBx","/static/default-card-header-dark-dcbaadee952586d8df3e9d58dd4e48a7.png","Brand Management…Schools and Partners: IIMBx…Course","https://www.edx.org/course/brand-management?index=product_value_experiment_a&queryID=48eb9ae753b2131ccaab47a5ae2a3627&position=16"
"1668780728-7732","https://www.edx.org/search?tab=course&subject=Social+Sciences","United States Health
Policy","HarvardX","/static/default-card-header-dark-dcbaadee952586d8df3e9d58dd4e48a7.png","United States Health
Policy…Schools and Partners: HarvardX…Course","https://www.edx.org/course/united-states-health-policy?index=product_value_experiment_a&queryID=48eb9ae753b2131ccaab47a5ae2a3627&position=17"
"1668780728-7733","https://www.edx.org/search?tab=course&subject=Social+Sciences","Global Housing Design","DelftX","/static/default-card-header-dark-dcbaadee952586d8df3e9d58dd4e48a7.png","Global Housing Design…Schools and Partners: DelftX…Course","https://www.edx.org/course/global-housing-design?index=product_value_experiment_a&queryID=48eb9ae753b2131ccaab47a5ae2a3627&position=18"
"1668780728-7734","https://www.edx.org/search?tab=course&subject=Social+Sciences","Living Heritage and
Sustainable Development","SDGAcademyX","/static/default-card-header-dark-dcbaadee952586d8df3e9d58dd4e48a7.png","Living Heritage and
Sustainable Development…Schools and Partners: SDGAcademyX…Course","https://www.edx.org/course/living-heritage-and-sustainable-development?index=product_value_experiment_a&queryID=48eb9ae753b2131ccaab47a5ae2a3627&position=19"
"1668780728-7735","https://www.edx.org/search?tab=course&subject=Social+Sciences","Human Rights, Human
Wrongs: Challenging Poverty, Vulnerability a…","SDGAcademyX","/static/default-card-header-dark-dcbaadee952586d8df3e9d58dd4e48a7.png","Human Rights, Human
Wrongs: Challenging Poverty, Vulnerability a……Schools and Partners: SDGAcademyX…Course","https://www.edx.org/course/human-rights-human-wrongs-challenging-poverty-vuln?index=product_value_experiment_a&queryID=48eb9ae753b2131ccaab47a5ae2a3627&position=20"
"1668780728-7736","https://www.edx.org/search?tab=course&subject=Social+Sciences","Psychology of Personal
Growth","HKUSTx","/static/default-card-header-dark-dcbaadee952586d8df3e9d58dd4e48a7.png","Psychology of Personal
Growth…Schools and Partners: HKUSTx…Course","https://www.edx.org/course/psychology-of-personal-growth?index=product_value_experiment_a&queryID=48eb9ae753b2131ccaab47a5ae2a3627&position=21"
"1668780728-7737","https://www.edx.org/search?tab=course&subject=Social+Sciences","Debate y argumentación","URosarioX","/static/default-card-header-dark-dcbaadee952586d8df3e9d58dd4e48a7.png","Debate y argumentación…Schools and Partners: URosarioX…Course","https://www.edx.org/course/debate-y-argumentacion?index=product_value_experiment_a&queryID=48eb9ae753b2131ccaab47a5ae2a3627&position=22"
"1668780728-7738","https://www.edx.org/search?tab=course&subject=Social+Sciences","Educación de calidad
para todos: equidad, inclusión y atención a la…","UAMx","/static/default-card-header-dark-dcbaadee952586d8df3e9d58dd4e48a7.png","Educación de calidad
para todos: equidad, inclusión y atención a la……Schools and Partners: UAMx…Course","https://www.edx.org/course/educacion-de-calidad-para-todos-equidad-inclusion?index=product_value_experiment_a&queryID=48eb9ae753b2131ccaab47a5ae2a3627&position=23"
"1668780728-7739","https://www.edx.org/search?tab=course&subject=Social+Sciences","Abnormal Psychology","DoaneX","/static/default-card-header-dark-dcbaadee952586d8df3e9d58dd4e48a7.png","Abnormal Psychology…Schools and Partners: DoaneX…Course","https://www.edx.org/course/abnormal-psychology-2?index=product_value_experiment_a&queryID=48eb9ae753b2131ccaab47a5ae2a3627&position=24"
"1668780728-7740","https://www.edx.org/search?tab=course&subject=Social+Sciences","La protección del menor","UAMx","https://prod-discovery.edx-cdn.org/media/course/image/6e52e551-33a0-4d40-b466-eaca6043fc41-3b463672854f.jpg","La protección del menor…Schools and Partners: UAMx…Course","https://www.edx.org/course/la-proteccion-del-menor?index=product_value_experiment_a&queryID=489889b26dac146c8a41e76fd114d7f8&position=1"
"1668780728-7741","https://www.edx.org/search?tab=course&subject=Social+Sciences","Psychologie de la
négociation","LouvainX","https://prod-discovery.edx-cdn.org/media/course/image/e81ddb39-b4d4-415e-b494-33b1db88acf0-4196d117295b.jpg","Psychologie de la
négociation…Schools and Partners: LouvainX…Course","https://www.edx.org/course/psychologie-de-la-negociation?index=product_value_experiment_a&queryID=489889b26dac146c8a41e76fd114d7f8&position=2"
"1668780728-7742","https://www.edx.org/search?tab=course&subject=Social+Sciences","Unconscious Bias: From
Awareness to Action","CatalystX","https://prod-discovery.edx-cdn.org/media/course/image/c8705ae8-850c-4350-aef6-b1dd71f88682-a6ec39783be9.png","Unconscious Bias: From
Awareness to Action…Schools and Partners: CatalystX…Course","https://www.edx.org/course/unconscious-bias-from-awareness-to-action-2?index=product_value_experiment_a&queryID=489889b26dac146c8a41e76fd114d7f8&position=3"
"1668780728-7743","https://www.edx.org/search?tab=course&subject=Social+Sciences","Gender and
Intersectionality","UIcelandX","https://prod-discovery.edx-cdn.org/media/course/image/3e923ed8-1743-4a60-9871-d9f838937e1e-dcb18aa309cf.png","Gender and
Intersectionality…Schools and Partners: UIcelandX…Course","https://www.edx.org/course/gender-and-intersectionality?index=product_value_experiment_a&queryID=489889b26dac146c8a41e76fd114d7f8&position=4"
"1668780728-7744","https://www.edx.org/search?tab=course&subject=Social+Sciences","ODS en la Agenda 2030
de las Naciones Unidas: Retos de los Obj…","UPValenciaX","https://prod-discovery.edx-cdn.org/media/course/image/9c94318e-5769-4f92-a047-7d7ca318b4d1-9c71514a2ae5.jpg","ODS en la Agenda 2030
de las Naciones Unidas: Retos de los Obj……Schools and Partners: UPValenciaX…Course","https://www.edx.org/course/ods-en-la-agenda-2030-de-las-naciones-unidas-retos?index=product_value_experiment_a&queryID=489889b26dac146c8a41e76fd114d7f8&position=5"
"1668780728-7745","https://www.edx.org/search?tab=course&subject=Social+Sciences","Introduction to the Music
Business","BerkleeX","https://prod-discovery.edx-cdn.org/media/course/image/966e325a-b6a3-44af-aa03-7fed0c35a2e2-7d25cdc268fe.jpg","Introduction to the Music
Business…Schools and Partners: BerkleeX…Course","https://www.edx.org/course/berkleex-introduction-to-the-music-business?index=product_value_experiment_a&queryID=489889b26dac146c8a41e76fd114d7f8&position=6"
"1668780728-7746","https://www.edx.org/search?tab=course&subject=Social+Sciences","Fundamentals of
Sociology","DoaneX","/static/default-card-header-dark-dcbaadee952586d8df3e9d58dd4e48a7.png","Fundamentals of
Sociology…Schools and Partners: DoaneX…Course","https://www.edx.org/course/fundamentals-of-sociology?index=product_value_experiment_a&queryID=489889b26dac146c8a41e76fd114d7f8&position=7"
"1668780728-7747","https://www.edx.org/search?tab=course&subject=Social+Sciences","The Science of Parenting","UCSanDiegoX","/static/default-card-header-dark-dcbaadee952586d8df3e9d58dd4e48a7.png","The Science of Parenting…Schools and Partners: UCSanDiegoX…Course","https://www.edx.org/course/the-science-of-parenting?index=product_value_experiment_a&queryID=489889b26dac146c8a41e76fd114d7f8&position=8"
"1668780728-7748","https://www.edx.org/search?tab=course&subject=Social+Sciences","Anthropology of Current
World Issues","UQx","/static/default-card-header-dark-dcbaadee952586d8df3e9d58dd4e48a7.png","Anthropology of Current
World Issues…Schools and Partners: UQx…Course","https://www.edx.org/course/anthropology-of-current-world-issues?index=product_value_experiment_a&queryID=489889b26dac146c8a41e76fd114d7f8&position=9"
"1668780728-7749","https://www.edx.org/search?tab=course&subject=Social+Sciences","Citizen Politics in
America: Public Opinion, Elections, Interest Grou…","HarvardX","/static/default-card-header-dark-dcbaadee952586d8df3e9d58dd4e48a7.png","Citizen Politics in
America: Public Opinion, Elections, Interest Grou……Schools and Partners: HarvardX…Course","https://www.edx.org/course/citizen-politics-in-america-public-opinion-electio?index=product_value_experiment_a&queryID=489889b26dac146c8a41e76fd114d7f8&position=10"
"1668780728-7750","https://www.edx.org/search?tab=course&subject=Social+Sciences","Bridging Differences","BerkeleyX","/static/default-card-header-dark-dcbaadee952586d8df3e9d58dd4e48a7.png","Bridging Differences…Schools and Partners: BerkeleyX…Course","https://www.edx.org/course/bridging-differences?index=product_value_experiment_a&queryID=489889b26dac146c8a41e76fd114d7f8&position=11"
"1668780728-7751","https://www.edx.org/search?tab=course&subject=Social+Sciences","Transforming Our World:
Achieving the Sustainable Development Goals","SDGAcademyX","/static/default-card-header-dark-dcbaadee952586d8df3e9d58dd4e48a7.png","Transforming Our World:
Achieving the Sustainable Development Goals…Schools and Partners: SDGAcademyX…Course","https://www.edx.org/course/transforming-our-world-achieving-the-sustainable-d?index=product_value_experiment_a&queryID=489889b26dac146c8a41e76fd114d7f8&position=12"
"1668780728-7752","https://www.edx.org/search?tab=course&subject=Social+Sciences","Beyond Systems Thinking","ETHx","/static/default-card-header-dark-dcbaadee952586d8df3e9d58dd4e48a7.png","Beyond Systems Thinking…Schools and Partners: ETHx…Course","https://www.edx.org/course/beyond-systems-thinking?index=product_value_experiment_a&queryID=489889b26dac146c8a41e76fd114d7f8&position=13"
"1668780728-7753","https://www.edx.org/search?tab=course&subject=Social+Sciences","Recruiting and Selecting
the Right Person","UCx","/static/default-card-header-dark-dcbaadee952586d8df3e9d58dd4e48a7.png","Recruiting and Selecting
the Right Person…Schools and Partners: UCx…Course","https://www.edx.org/course/getting-the-right-person?index=product_value_experiment_a&queryID=489889b26dac146c8a41e76fd114d7f8&position=14"
"1668780728-7754","https://www.edx.org/search?tab=course&subject=Social+Sciences","El cerebro y las
emociones en el lenguaje","URosarioX","/static/default-card-header-dark-dcbaadee952586d8df3e9d58dd4e48a7.png","El cerebro y las
emociones en el lenguaje…Schools and Partners: URosarioX…Course","https://www.edx.org/course/el-cerebro-y-las-emociones-en-el-lenguaje?index=product_value_experiment_a&queryID=489889b26dac146c8a41e76fd114d7f8&position=15"
"1668780728-7755","https://www.edx.org/search?tab=course&subject=Social+Sciences","Introducción a la teoría
política: conceptos y grandes pensadores","FedericaX","/static/default-card-header-dark-dcbaadee952586d8df3e9d58dd4e48a7.png","Introducción a la teoría
política: conceptos y grandes pensadores…Schools and Partners: FedericaX…Course","https://www.edx.org/course/introduccion-a-la-teoria-politica-conceptos-y-gran?index=product_value_experiment_a&queryID=489889b26dac146c8a41e76fd114d7f8&position=16"
"1668780728-7756","https://www.edx.org/search?tab=course&subject=Social+Sciences","Practical Improvement
Science in Health Care: A Roadmap for Getting Re…","HarvardX","/static/default-card-header-dark-dcbaadee952586d8df3e9d58dd4e48a7.png","Practical Improvement
Science in Health Care: A Roadmap for Getting Re……Schools and Partners: HarvardX…Course","https://www.edx.org/course/practical-improvement-science-in-health-care-a-roa?index=product_value_experiment_a&queryID=489889b26dac146c8a41e76fd114d7f8&position=17"
"1668780728-7757","https://www.edx.org/search?tab=course&subject=Social+Sciences","Introducción a la genética
y la evolución","UAMx","/static/default-card-header-dark-dcbaadee952586d8df3e9d58dd4e48a7.png","Introducción a la genética
y la evolución…Schools and Partners: UAMx…Course","https://www.edx.org/course/introduccion-a-la-genetica-y-la-evolucion?index=product_value_experiment_a&queryID=489889b26dac146c8a41e76fd114d7f8&position=18"
