web-scraper-order,web-scraper-start-url,name,school,image-src,link,link-href
"1668781088-11008","https://www.edx.org/search?tab=course&subject=Engineering","Applied Quantum
Computing II: Hardware","PurdueX","https://prod-discovery.edx-cdn.org/media/course/image/fe45fe00-a7c8-4037-ba40-f956e2b6ef29-6e404fcdb376.png","Applied Quantum
Computing II: Hardware…Schools and Partners: PurdueX…Course","https://www.edx.org/course/quantum-computing-ii-hardware?index=product_value_experiment_a&queryID=de98c76e8fdc2376e8456f88c5f38299&position=1"
"1668781088-11009","https://www.edx.org/search?tab=course&subject=Engineering","Software Defined
Networking (SDN)
Deployment","CurtinX","https://prod-discovery.edx-cdn.org/media/course/image/dc117aaf-1e62-4fa0-8bc6-e6823da9ba30-7d928046248b.jpeg","Software Defined
Networking (SDN)
Deployment…Schools and Partners: CurtinX…Course","https://www.edx.org/course/software-defined-networking-sdn-deployment?index=product_value_experiment_a&queryID=de98c76e8fdc2376e8456f88c5f38299&position=2"
"1668781088-11010","https://www.edx.org/search?tab=course&subject=Engineering","Introducción a los
Sistemas de Información
Geográfica","GalileoX","https://prod-discovery.edx-cdn.org/media/course/image/c27d73b5-ed11-4202-9fe3-0dc97bf3fa81-b45e77379027.jpeg","Introducción a los
Sistemas de Información
Geográfica…Schools and Partners: GalileoX…Course","https://www.edx.org/course/introduccion-a-los-sistemas-de-informacion-geografica?index=product_value_experiment_a&queryID=de98c76e8fdc2376e8456f88c5f38299&position=3"
"1668781088-11011","https://www.edx.org/search?tab=course&subject=Engineering","Solar Energy:
Photovoltaic Systems and
their Applications","DelftX","https://prod-discovery.edx-cdn.org/media/course/image/3996a077-6e84-4528-80cf-e73b07ae0495-852c32f67d86.jpeg","Solar Energy:
Photovoltaic Systems and
their Applications…Schools and Partners: DelftX…Course","https://www.edx.org/course/solar-energy-photovoltaic-systems-and-their-applications?index=product_value_experiment_a&queryID=de98c76e8fdc2376e8456f88c5f38299&position=4"
"1668781088-11012","https://www.edx.org/search?tab=course&subject=Engineering","Quantum Detectors","PurdueX","https://prod-discovery.edx-cdn.org/media/course/image/09ce168e-307a-4390-820a-5d457248f629-898a2ad1b2d3.png","Quantum Detectors…Schools and Partners: PurdueX…Course","https://www.edx.org/course/quantum-detectors?index=product_value_experiment_a&queryID=de98c76e8fdc2376e8456f88c5f38299&position=5"
"1668781088-11013","https://www.edx.org/search?tab=course&subject=Engineering","Solar Energy: 
Photovoltaic Materials,
Devices, and Modules","DelftX","https://prod-discovery.edx-cdn.org/media/course/image/090a8647-f149-4672-9dfa-33ffe5fc0989-673f8a0f4199.png","Solar Energy: 
Photovoltaic Materials,
Devices, and Modules…Schools and Partners: DelftX…Course","https://www.edx.org/course/solar-energy-photovoltaic-materials-devices-and-modules?index=product_value_experiment_a&queryID=de98c76e8fdc2376e8456f88c5f38299&position=6"
"1668781088-11014","https://www.edx.org/search?tab=course&subject=Engineering","Fundamentos de la
obtención, estructura y
modificación de materia…","UPValenciaX","/static/default-card-header-dark-dcbaadee952586d8df3e9d58dd4e48a7.png","Fundamentos de la
obtención, estructura y
modificación de materia……Schools and Partners: UPValenciaX…Course","https://www.edx.org/course/fundamentos-de-materiales-polimericos?index=product_value_experiment_a&queryID=de98c76e8fdc2376e8456f88c5f38299&position=7"
"1668781088-11015","https://www.edx.org/search?tab=course&subject=Engineering","Let’s Get Principled: 
Values, Culture &
Intelligent Disobedience!","UMD, USMx","/static/default-card-header-dark-dcbaadee952586d8df3e9d58dd4e48a7.png","Let’s Get Principled: 
Values, Culture &
Intelligent Disobedience!…Schools and Partners: UMD, USMx…Course","https://www.edx.org/course/lets-get-principled-values-culture-intelligent-disobedience?index=product_value_experiment_a&queryID=de98c76e8fdc2376e8456f88c5f38299&position=8"
"1668781088-11016","https://www.edx.org/search?tab=course&subject=Engineering","5G Deployment","CurtinX","/static/default-card-header-dark-dcbaadee952586d8df3e9d58dd4e48a7.png","5G Deployment…Schools and Partners: CurtinX…Course","https://www.edx.org/course/5g-deployment?index=product_value_experiment_a&queryID=de98c76e8fdc2376e8456f88c5f38299&position=9"
"1668781088-11017","https://www.edx.org/search?tab=course&subject=Engineering","AI Skills for Engineers:
Data Engineering and
Data Pipelines","DelftX","/static/default-card-header-dark-dcbaadee952586d8df3e9d58dd4e48a7.png","AI Skills for Engineers:
Data Engineering and
Data Pipelines…Schools and Partners: DelftX…Course","https://www.edx.org/course/ai-skills-for-engineers-data-management-pipelines?index=product_value_experiment_a&queryID=de98c76e8fdc2376e8456f88c5f38299&position=10"
"1668781088-11018","https://www.edx.org/search?tab=course&subject=Engineering","Technology for
Continuous Production of
Medicines","TUGrazX","/static/default-card-header-dark-dcbaadee952586d8df3e9d58dd4e48a7.png","Technology for
Continuous Production of
Medicines…Schools and Partners: TUGrazX…Course","https://www.edx.org/course/technology-for-continuous-production-of-medicines?index=product_value_experiment_a&queryID=de98c76e8fdc2376e8456f88c5f38299&position=11"
"1668781088-11019","https://www.edx.org/search?tab=course&subject=Engineering","Risk Models for Project
Managers: Monte Carlo
and Beyond","UMD, USMx","/static/default-card-header-dark-dcbaadee952586d8df3e9d58dd4e48a7.png","Risk Models for Project
Managers: Monte Carlo
and Beyond…Schools and Partners: UMD, USMx…Course","https://www.edx.org/course/risk-models-for-project-managers-monte-carlo-and-beyond?index=product_value_experiment_a&queryID=de98c76e8fdc2376e8456f88c5f38299&position=12"
"1668781088-11020","https://www.edx.org/search?tab=course&subject=Engineering","Strategic Decisions for
Project Leaders:
Exploiting Risk and Opp…","UMD, USMx","/static/default-card-header-dark-dcbaadee952586d8df3e9d58dd4e48a7.png","Strategic Decisions for
Project Leaders:
Exploiting Risk and Opp……Schools and Partners: UMD, USMx…Course","https://www.edx.org/course/strategic-decisions-for-project-leaders-exploiting-risk-and-opportunity?index=product_value_experiment_a&queryID=de98c76e8fdc2376e8456f88c5f38299&position=13"
