web-scraper-order,web-scraper-start-url,name,description,image-src,link,link-href,rating,review-count
"1668875189-46565","https://www.udacity.com/courses/all?field=school-of-programming","Interactive 3D Graphics","This course will teach you the principles of 3D computer graphics: meshes, transforms, lighting, animation, and making interactive 3D applications run in a browser.","https://d20vrrgs8k4bvw.cloudfront.net/images/courses/thumbnails/cs291_thumbnail.jpg","freeInteractive 3D GraphicsThis course will teach you the principles of 3D computer graphics: meshes, transforms, lighting, animation, and making interactive 3D applications run in a browser.Skills CoveredAnimated 3D Demo Program, Computer Image Generation, Programming Vertex and Pixel ShadersView more +Program Detailsintermediate2 MonthsIn collaboration with:AutodeskProgram DetailsIn collaboration with:Autodesk","https://www.udacity.com/course/interactive-3d-graphics--cs291","null","null"
"1668875189-46566","https://www.udacity.com/courses/all?field=school-of-programming","Full Stack Foundations","Learn the fundamentals of back-end web development by creating your own web application from the ground up using the iterative development process.","https://d20vrrgs8k4bvw.cloudfront.net/images/courses/thumbnails/ud088_thumbnail.jpg","freeFull Stack FoundationsLearn the fundamentals of back-end web development by creating your own web application from the ground up using the iterative development process.Skills CoveredFlask, CRUD, Model-View-Controller, Python, Object-relational MappingView more +Program Detailsintermediate3 WeeksIn collaboration with:Amazon Web ServicesProgram DetailsIn collaboration with:Amazon Web Services","https://www.udacity.com/course/full-stack-foundations--ud088","null","null"
"1668875189-46567","https://www.udacity.com/courses/all?field=school-of-programming","High Performance Computer Architecture","The HPCA course covers performance measurement, pipelining, and improved parallelism through various means.","https://d20vrrgs8k4bvw.cloudfront.net/images/courses/thumbnails/ud007_thumbnail.jpg","freeHigh Performance Computer ArchitectureThe HPCA course covers performance measurement, pipelining, and improved parallelism through various means.Skills CoveredProcessor Pipelining, Branch Prediction, Instruction Scheduling, Memory Ordering, Multiprocessor ArchitecturesView more +Program DetailsadvancedIn collaboration with:Georgia Institute of TechnologyProgram DetailsIn collaboration with:Georgia Institute of Technology","https://www.udacity.com/course/high-performance-computer-architecture--ud007","null","null"
"1668875189-46568","https://www.udacity.com/courses/all?field=school-of-programming","AutoLayout","With this course, you will learn about AutoLayout and how to use stack views and constraints to create pixel-perfect UIs.","https://d20vrrgs8k4bvw.cloudfront.net/images/courses/thumbnails/ud1026_thumbnail.jpg","freeAutoLayoutWith this course, you will learn about AutoLayout and how to use stack views and constraints to create pixel-perfect UIs.Skills CoveredDesign, UI, Stack Views, ConstraintsView more +Program Detailsintermediate6 DaysProgram Details","https://www.udacity.com/course/auto-layout--ud1026","null","null"
"1668875189-46569","https://www.udacity.com/courses/all?field=school-of-programming","Kotlin Bootcamp for Programmers","Learn the fundamentals of the Kotlin programming language from Kotlin experts at Google.","https://d20vrrgs8k4bvw.cloudfront.net/images/courses/thumbnails/kotlin-bootcamp-for-programmers--ud9011.jpg","freeKotlin Bootcamp for ProgrammersLearn the fundamentals of the Kotlin programming language from Kotlin experts at Google.Skills CoveredAndroid DevelopmentView more +Program Detailsintermediate2 WeeksIn collaboration with:GoogleProgram DetailsIn collaboration with:Google","https://www.udacity.com/course/kotlin-bootcamp-for-programmers--ud9011","null","null"
"1668875189-46570","https://www.udacity.com/courses/all?field=school-of-programming","Shell Workshop","This course is intended to get you up to speed on the shell — using a terminal, managing files and directories, and running command-line programs.","https://www.udacity.com/www-proxy/contentful/assets/2y9b3o528xhq/7eORa6xjKXkkSaVS4DVHR9/b47ad5cdda8f248dd4d1d80be60ca782/Screenshot_2021-09-17_at_2.37.56_PM.png","freeShell WorkshopThis course is intended to get you up to speed on the shell — using a terminal, managing files and directories, and running command-line programs.Skills CoveredUnix-style command-line environmentView more +Program Detailsbeginner1 DayProgram Details","https://www.udacity.com/course/shell-workshop--ud206","null","null"
"1668875189-46571","https://www.udacity.com/courses/all?field=school-of-programming","Core ML: Machine Learning for iOS","Learn how to use Apple's Core ML framework to build iOS apps with intelligent new features.","https://d20vrrgs8k4bvw.cloudfront.net/images/courses/thumbnails/ud1038_thumbnail.jpg","freeCore ML: Machine Learning for iOSLearn how to use Apple's Core ML framework to build iOS apps with intelligent new features.Skills CoverediOS, Image Classification, Core MLView more +Program Detailsintermediate1 WeekProgram Details","https://www.udacity.com/course/core-ml--ud1038","null","null"
"1668875189-46572","https://www.udacity.com/courses/all?field=school-of-programming","Statistics","We live in a time of unprecedented access to information. You'll learn how to use statistics to interpret that information and make decisions.","https://d20vrrgs8k4bvw.cloudfront.net/images/courses/thumbnails/st095_thumbnail.jpg","freeStatisticsWe live in a time of unprecedented access to information. You'll learn how to use statistics to interpret that information and make decisions.Skills CoveredStatistical Research Methods, Data Visualization, Distributions, Hypothesis Testing, RegressionView more +Program Detailsbeginner4 MonthsIn collaboration with:San Jose State UniversityProgram DetailsIn collaboration with:San Jose State University","https://www.udacity.com/course/statistics--st095","null","null"
"1668875189-46573","https://www.udacity.com/courses/all?field=school-of-programming","Intro to Theoretical Computer Science","Learn the basic concepts in theoretical computer science. Discover what they imply for solving tough computational challenges.","https://d20vrrgs8k4bvw.cloudfront.net/images/courses/thumbnails/cs313_thumbnail.jpg","freeIntro to Theoretical Computer ScienceLearn the basic concepts in theoretical computer science. Discover what they imply for solving tough computational challenges.Skills Coveredtheoretical computer science, NP-completeness, Recognizing algorithmic problems, Solving algorithmic problemsView more +Program Detailsintermediate2 MonthsProgram Details","https://www.udacity.com/course/intro-to-theoretical-computer-science--cs313","null","null"
"1668875189-46574","https://www.udacity.com/courses/all?field=school-of-programming","Design of Computer Programs","Learn how to model problems, and how to optimize performance by using some of the advanced features of Python.","https://d20vrrgs8k4bvw.cloudfront.net/images/courses/thumbnails/cs212_thumbnail.jpg","freeDesign of Computer ProgramsLearn how to model problems, and how to optimize performance by using some of the advanced features of Python.Skills CoveredComputer Program Design, Python, Design ProcessView more +Program Detailsadvanced2 MonthsProgram Details","https://www.udacity.com/course/design-of-computer-programs--cs212","null","null"
